Количество собственников,Санузел,Класс энергоэффективности,Газ,Тип перекрытий,Ремонт,Цена,Перепланировка,Мусоропровод,Количество балконов,Площадь,Количество лифтов,Вид из окон,Этаж,Высота потолков,Год постройки,Балкон,Несовершеннолетние собственники,Количество подъездов,Детская площадка,Цена за квадрат,Количество этажей,Жилая,Лифт,Тип фундамента,Кухня,Ссылка,Комнат,Лет в собственности,Тип сделки,Прописано,Материал стен,Грузовой лифт,Количество квартир,Горячее водоснабжение,Серия дома,Прописанные несовершеннолетние
1,Раздельный,,есть,Железобетонный,Дизайнерский,5600000₽,,,1,"65,3 м2",1,во двор,3,2.5,1985,,,,,85758₽/м²,9,45 м2,есть,,"7,6 м2",https://domclick.ru/card/sale__flat__2059217940,3,Меньше трех,Свободная продажа,,Панельный,нет,,,1-ЛГ-602,
,,,,Железобетонный,Требует ремонта,2980000₽,,,,33 м2,1,во двор,4,2.7,2019,нет,,,,90303₽/м²,17,17 м2,есть,,9 м2,https://domclick.ru/card/sale__flat__2059480999,1,,Свободная продажа,,Панельный,,,Центральное,,
,,,,Железобетонный,,3750000₽,,,1,36 м2,,,6,,2022,,,,,104166₽/м²,17,17 м2,,,"11,8 м2",https://domclick.ru/card/sale__flat__2056786638,1,,Свободная продажа,,Панельный,,423,Центральное,,
,,,,Железобетонный,евроремонт,2600000₽,,,1,20 м2,1,на улицу,13,2.7,2021,,,,,130000₽/м²,18,13 м2,есть,,3 м2,https://domclick.ru/card/sale__flat__2057060484,,,Свободная продажа,,Панельный,,,Центральное,,
1,Совмещенный,,нет,,Косметический,3690000₽,,,1,"37,7 м2",2,на улицу,1,,2016,,,,,97877₽/м²,19,14 м2,есть,,10 м2,https://domclick.ru/card/sale__flat__2059152960,1,Больше пяти,Свободная продажа,,Панельный,есть,469,,1-панельный,
,,,,Железобетонный,Дизайнерский,3670000₽,,,1,38 м2,1,во двор,14,3,2018,,,,,96578₽/м²,17,18 м2,есть,,10 м2,https://domclick.ru/card/sale__flat__2056599831,1,,Свободная продажа,,Монолитный,,,Центральное,,
,,,есть,Железобетонный,,3550000₽,,,,38 м2,1,,1,,1989,нет,,,,93421₽/м²,9,,есть,,10 м2,https://domclick.ru/card/sale__flat__2058293656,1,,Свободная продажа,,Панельный,нет,,,97 (111-97),
,Совмещенный,,нет,Железобетонный,Без ремонта,3390000₽,,,1,"39,6 м2",3,"на парк, на лес, на улицу",15,2.7,2022,,,,,85606₽/м²,17,,,,"9,8 м2",https://domclick.ru/card/sale__flat__2059450506,1,,Свободная продажа,,Панельный,есть,423,Центральное,,
1,Совмещенный,,нет,Железобетонный,Евро,5300000₽,нет,,1,"58,8 м2",3,во двор,5,,2017,,нет,,,90136₽/м²,19,33 м2,есть,,11 м2,https://domclick.ru/card/sale__flat__2058693858,2,Меньше трех,Свободная продажа,,Панельный,есть,,,1-панельный,нет
,,,нет,Железобетонный,евроремонт,5250000₽,,,1,62 м2,1,"во двор, на улицу",12,2.7,2019,,,,,84677₽/м²,18,,есть,,"12,4 м2",https://domclick.ru/card/sale__flat__2057122123,2,,Свободная продажа,,Панельный,,305,,,
,Раздельный,,нет,Железобетонный,Без ремонта,4323820₽,нет,,1,61 м2,1,во двор,11,,2018,,нет,,,70882₽/м²,17,31 м2,есть,,13 м2,https://domclick.ru/card/sale__flat__2059492187,2,,Переуступка,,Монолитный,есть,,Центральное,,нет
1,Совмещенный,,есть,Железобетонный,Евро,3300000₽,нет,,1,30 м2,,во двор,4,,1973,,нет,,,110000₽/м²,5,15 м2,,Иной,6 м2,https://domclick.ru/card/sale__flat__2059189610,1,От трех до пяти,Свободная продажа,1,Кирпичный,нет,,,v-кирпичный,нет
,,,,Железобетонный,,2654000₽,,,1,"36,5 м2",1,,11,2.8,2019,,,,,72792₽/м²,18,"36,5 м2",есть,,"9,9 м2",https://domclick.ru/card/sale__flat__1884987230,1,,Переуступка,,Панельный,,305,,,
,,,,Железобетонный,Требует ремонта,4475120₽,,,1,57 м2,1,,11,2.7,2023,,,,,78510₽/м²,17,31 м2,,,10 м2,https://domclick.ru/card/sale__flat__2059442285,2,,Переуступка,,Панельный,,132,Центральное,,
,,,,Железобетонный,евроремонт,3500000₽,,,,"34,2 м2",1,во двор,15,,2023,нет,,,,102339₽/м²,17,16 м2,,,11 м2,https://domclick.ru/card/sale__flat__2058251988,1,,Свободная продажа,,Панельный,,204,Центральное,,
,Раздельный,,нет,Железобетонный,Без ремонта,4659480₽,нет,,1,64 м2,3,"на улицу, на парк",11,,2023,,нет,,,72804₽/м²,17,33 м2,,,13 м2,https://domclick.ru/card/sale__flat__2059492816,2,,Переуступка,,Панельный,есть,132,Центральное,,нет
,,,нет,,,3960000₽,,,,"37,4 м2",,,4,,2023,нет,,,,105882₽/м²,17,28 м2,,,,https://domclick.ru/card/sale__flat__2059488576,1,,Свободная продажа,,Панельный,нет,,,,
1,Совмещенный,,нет,,Косметический,3350000₽,нет,,1,40 м2,3,во двор,8,,2016,,нет,,,83750₽/м²,12,19 м2,есть,,12 м2,https://domclick.ru/card/sale__flat__2057467336,1,Больше пяти,Свободная продажа,,Панельный,есть,180,,1-панельный,нет
,,,есть,Железобетонный,Требует ремонта,2650000₽,,,,"44,1 м2",,во двор,3,2.75,1972,нет,,,,60090₽/м²,5,30 м2,,,"5,8 м2",https://domclick.ru/card/sale__flat__2058251966,2,,Свободная продажа,,Панельный,,90,,1-464А,
,,,,Железобетонный,,3850000₽,,,1,"39,1 м2",1,,10,2.8,2022,,,,,98465₽/м²,17,18 м2,,,10 м2,https://domclick.ru/card/sale__flat__2059257003,1,,Свободная продажа,,Панельный,,148,Центральное,,
1,Совмещенный,,нет,Железобетонный,,3630000₽,нет,,,42 м2,3,,17,,2021,нет,нет,,,86428₽/м²,17,22 м2,,,20 м2,https://domclick.ru/card/sale__flat__2056968058,2,От трех до пяти,Свободная продажа,,Панельный,есть,102,Центральное,,нет
,Раздельный,,есть,Железобетонный,Косметический,3100000₽,нет,,1,58 м2,,,2,,1977,,нет,,,53448₽/м²,5,38 м2,,Сборный,6 м2,https://domclick.ru/card/sale__flat__1878161605,3,,Свободная продажа,,Кирпичный,нет,,,а жилой дом,нет
,,,нет,Железобетонный,,2915000₽,нет,,,"34,8 м2",,,6,,2022,нет,нет,,,83764₽/м²,17,15 м2,,,"6,2 м2",https://domclick.ru/card/sale__flat__1703772832,,,Переуступка,,Панельный,нет,423,Центральное,,нет
,Совмещенный,,есть,Железобетонный,,5100000₽,,,1,64 м2,1,,6,,1987,,,,,79687₽/м²,9,45 м2,есть,,,https://domclick.ru/card/sale__flat__2056535956,3,,Альтернатива,,Панельный,нет,,,97 (111-97),
1,Раздельный,,нет,Железобетонный,Без ремонта,3100000₽,нет,,,"36,9 м2",2,,2,,1986,нет,нет,,,84010₽/м²,14,18 м2,есть,,9 м2,https://domclick.ru/card/sale__flat__2057027698,1,,Свободная продажа,,Кирпичный,нет,,,Э-93,нет
,,,,,,4980000₽,,,1,62 м2,1,на улицу,13,2.8,2015,,,,,80322₽/м²,19,48 м2,есть,,14 м2,https://domclick.ru/card/sale__flat__2057599957,2,,Свободная продажа,,Панельный,,720,,744.0.01 панельный,
1,,,,,,5408540₽,нет,,,"53,5 м2",,,10,2.7,,нет,нет,,,101018₽/м²,15,14 м2,,,,https://domclick.ru/card/sale__flat__2056025122,2,Меньше трех,Свободная продажа,,,нет,,,,нет
,Раздельный,,есть,Железобетонный,Косметический,4630000₽,,,1,60 м2,,,3,,1971,,,,,77166₽/м²,5,,,Ленточный,,https://domclick.ru/card/sale__flat__2059557390,4,,Свободная продажа,,Панельный,нет,,,1-464А,
,Раздельный,,нет,,Косметический,1850000₽,нет,,,35 м2,,во двор,8,2.5,1983,нет,нет,,,52857₽/м²,9,26 м2,,,6 м2,https://domclick.ru/card/sale__flat__2058366061,2,,Свободная продажа,,Кирпичный,нет,,,,нет
,Раздельный,,есть,Железобетонный,Косметический,5350000₽,,,2,87 м2,1,"во двор, на улицу",4,,1995,,,,,61494₽/м²,10,,есть,Бетонные столбы,,https://domclick.ru/card/sale__flat__2058897832,4,,Свободная продажа,,Панельный,нет,,,,
1,Совмещенный,,есть,Железобетонный,Евро,3550000₽,нет,,1,47 м2,,,5,,1973,,нет,,,75531₽/м²,5,33 м2,,Ленточный,6 м2,https://domclick.ru/card/sale__flat__2059528654,3,Больше пяти,Свободная продажа,,Панельный,нет,,Закрытая с приготовлением горячей воды на ЦТП,,нет
,,,нет,Железобетонный,евроремонт,2699999₽,,,1,"30,4 м2",,на улицу,3,2.6,1973,,,,,88815₽/м²,5,,,Иной,"6,1 м2",https://domclick.ru/card/sale__flat__2057818037,1,,Свободная продажа,,Кирпичный,,,,87,
