Ссылка;Комнат;Цена ₽;Общая площадь м²;Жилая площадь м²;Цена за квадрат ₽/м²;Район;Ремонт;Этаж;Год постройки;Количество этажей;Материал стен
https://domclick.ru/card/sale__flat__1950146995;1;3800000.0;36.5;20.0;104109.0;дзержинский;Дизайнерский;7;2022;17;Панельный
https://domclick.ru/card/sale__flat__2058285133;3;3750000.0;66.4;57.0;56475.0;дзержинский;Требует ремонта;8;1977;9;Панельный
https://domclick.ru/card/sale__flat__1956375538;2;3300000.0;40.0;26.6;82500.0;дзержинский;косметический;5;1973;5;Кирпичный
https://domclick.ru/card/sale__flat__2057773909;1;4190000.0;38.0;20.0;110263.0;дзержинский;Хороший;2;2005;9;Кирпичный
https://domclick.ru/card/sale__flat__2059434600;3;4120000.0;61.4;48.0;67100.0;дзержинский;Евро;1;1974;5;Панельный
https://domclick.ru/card/sale__flat__2059189299;1;3260000.0;30.2;16.0;107947.0;дзержинский;Евро;2;1975;5;Панельный
https://domclick.ru/card/sale__flat__2059532919;4;10000000.0;111.3;70.0;89847.0;дзержинский;Евро;13;2014;13;Кирпичный
https://domclick.ru/card/sale__flat__2059491873;3;4420000.0;66.0;48.0;66969.0;дзержинский;Косметический;8;1980;2;Панельный
https://domclick.ru/card/sale__flat__2057027698;1;3100000.0;36.9;18.0;84010.0;дзержинский;Без ремонта;2;1986;14;Кирпичный
https://domclick.ru/card/sale__flat__2059076803;2;3400000.0;50.0;29.0;68000.0;дзержинский;Косметический;1;1981;9;Панельный
https://domclick.ru/card/sale__flat__2059189065;1;3270000.0;30.5;15.0;107213.0;дзержинский;Косметический;1;1975;5;Панельный
https://domclick.ru/card/sale__flat__2059577565;3;6400000.0;72.4;45.0;88397.0;дзержинский;Евро;9;2021;17;Панельный
https://domclick.ru/card/sale__flat__2056623098;2;2970000.0;52.4;34.0;56679.0;дзержинский;Косметический;4;1986;9;Панельный
https://domclick.ru/card/sale__flat__2056930663;2;3650000.0;52.0;35.0;70192.0;дзержинский;Евро;1;1977;5;Панельный
https://domclick.ru/card/sale__flat__2058404493;3;8071700.0;88.7;43.2;91041.0;дзержинский;Без ремонта;15;2025;17;Монолитный
https://domclick.ru/card/sale__flat__2058251966;2;2650000.0;44.1;30.0;60090.0;дзержинский;Требует ремонта;3;1972;5;Панельный
https://domclick.ru/card/sale__flat__1904017892;2;3299000.0;44.7;28.0;73803.0;дзержинский;Косметический;4;1972;5;Панельный
https://domclick.ru/card/sale__flat__2057467336;1;3350000.0;40.0;19.0;83750.0;дзержинский;Косметический;8;2016;12;Панельный
https://domclick.ru/card/sale__flat__2057218237;2;4600000.0;59.6;49.6;77181.0;дзержинский;Требует ремонта;17;2022;17;Панельный
https://domclick.ru/card/sale__flat__2059473522;1;3350000.0;37.3;18.0;89812.0;дзержинский;Хороший;3;1988;9;Панельный
https://domclick.ru/card/sale__flat__2058251988;1;3500000.0;34.2;16.0;102339.0;дзержинский;евроремонт;15;2023;17;Панельный
https://domclick.ru/card/sale__flat__2056656779;3;4400000.0;65.5;42.7;67175.0;дзержинский;Косметический ремонт;9;1975;9;Панельный
https://domclick.ru/card/sale__flat__2058718970;1;2450000.0;28.4;16.0;86267.0;дзержинский;Косметический;6;1994;9;Панельный
https://domclick.ru/card/sale__flat__2058905405;3;6500000.0;60.0;40.0;108333.0;дзержинский;Дизайнерский;10;2024;17;Панельный
