Горячее водоснабжение,Тип перекрытий,Этаж,Год постройки,Количество балконов,Лифт,Количество этажей,Цена за квадрат,Количество собственников,Прописано,Кухня,Количество квартир,Материал стен,Ссылка,Несовершеннолетние собственники,Количество подъездов,Тип фундамента,Цена,Класс энергоэффективности,Тип сделки,Мусоропровод,Балкон,Ремонт,Комнат,Высота потолков,Лет в собственности,Газ,Количество лифтов,Район,Площадь,Перепланировка,Грузовой лифт,Детская площадка,Прописанные несовершеннолетние,Серия дома,Жилая,Санузел,Вид из окон
,,7,2022,1,,17,104109₽/м²,,,10 м2,,Панельный,https://domclick.ru/card/sale__flat__1950146995,,,,3800000₽,,Свободная продажа,есть,,Дизайнерский,1,2.7,,,1,дзержинский,"36,5 м2",,,,,,20 м2,,на улицу
,Железобетонный,8,1977,,есть,9,56475₽/м²,,,8 м2,,Панельный,https://domclick.ru/card/sale__flat__2058285133,,,,3750000₽,,Свободная продажа,,нет,Требует ремонта,3,2.7,,есть,1,дзержинский,"66,4 м2",,,,,121,57 м2,,"во двор, на улицу"
,,6,2016,,есть,19,97247₽/м²,,,10 м2,469,Панельный,https://domclick.ru/card/sale__flat__2058008906,,,,5300000₽,,Свободная продажа,,нет,,2,,,нет,1,дзержинский,"54,5 м2",,нет,,,1-панельный,32 м2,,
,Железобетонный,10,2003,2,есть,14,58947₽/м²,1,,,,Монолитный,https://domclick.ru/card/sale__flat__2058805452,нет,,,5600000₽,,Свободная продажа,,,Дизайнерский,3,,Меньше трех,есть,,дзержинский,95 м2,нет,нет,,нет,а монолитный,,Раздельный,во двор
Центральное,Железобетонный,6,2024,1,,17,87727₽/м²,1,,,,Панельный,https://domclick.ru/card/sale__flat__2059109838,нет,,,1930000₽,,Свободная продажа,,,Без ремонта,,,Меньше трех,нет,2,дзержинский,22 м2,нет,нет,,нет,,"11,6 м2",Совмещенный,во двор
Закрытая с приготовлением горячей воды на ЦТП,Железобетонный,5,1973,1,,5,82500₽/м²,,,"6,4 м2",,Кирпичный,https://domclick.ru/card/sale__flat__1956375538,,,Ленточный,3300000₽,,Свободная продажа,,,косметический,2,,,есть,,дзержинский,40 м2,,,,,,"26,6 м2",,во двор
,Железобетонный,2,2005,1,есть,9,110263₽/м²,,,12 м2,,Кирпичный,https://domclick.ru/card/sale__flat__2057773909,,,,4190000₽,,Свободная продажа,,,Хороший,1,,,есть,1,дзержинский,38 м2,,,,,01-пз индивидуальный проект,20 м2,,на улицу
,Железобетонный,1,1974,,,5,67100₽/м²,,,5 м2,,Панельный,https://domclick.ru/card/sale__flat__2059434600,,,Ленточный,4120000₽,,Свободная продажа,,нет,Евро,3,,,есть,,дзержинский,"61,4 м2",,нет,,,1-464,48 м2,Раздельный,во двор
,Железобетонный,2,1975,,,5,107947₽/м²,,,6 м2,,Панельный,https://domclick.ru/card/sale__flat__2059189299,нет,,Ленточный,3260000₽,,Свободная продажа,,нет,Евро,1,,,есть,,дзержинский,"30,2 м2",нет,нет,,нет,1-464А,16 м2,Совмещенный,во двор
,,13,2014,3,есть,13,89847₽/м²,,,,188,Кирпичный,https://domclick.ru/card/sale__flat__2059532919,нет,,,10000000₽,,Свободная продажа,,,Евро,4,2.7,,нет,1,дзержинский,"111,3 м2",нет,нет,,нет,01-пз индивидуальный проект,70 м2,Раздельный,
