Этаж,Площадь,Ссылка,Грузовой лифт,Количество этажей,Количество квартир,Количество балконов,Прописано,Горячее водоснабжение,Комнат,Кухня,Прописанные несовершеннолетние,Цена,Количество лифтов,Газ,Несовершеннолетние собственники,Серия дома,Тип сделки,Санузел,Год постройки,Перепланировка,Жилая,Цена за квадрат,Вид из окон,Детская площадка,Материал стен,Высота потолков,Ремонт,Балкон,Район,Лет в собственности,Мусоропровод,Тип фундамента,Тип перекрытий,Лифт,Количество собственников
3,"32,8 м2",https://domclick.ru/card/sale__flat__2058528618,,5,,1,,,1,8 м2,,1850000₽,,есть,,v-кирпичный,Свободная продажа,,1988,,18 м2,56402₽/м²,,,Кирпичный,,,,ленинский,,,Ленточный,Железобетонный,,
8,52 м2,https://domclick.ru/card/sale__flat__1838082490,есть,17,,1,,Центральное,1,,нет,3900000₽,3,нет,нет,,Свободная продажа,Совмещенный,2022,нет,35 м2,75000₽/м²,,,Кирпичный,2.7,Без ремонта,,ленинский,,,,Железобетонный,есть,1
16,56 м2,https://domclick.ru/card/sale__flat__2057236256,,20,401,1,,,1,18 м2,,5850000₽,1,нет,,,Свободная продажа,,2014,,20 м2,104464₽/м²,во двор,,Монолитный,,Дизайнерский,,ленинский,,,,Железобетонный,есть,
4,65 м2,https://domclick.ru/card/sale__flat__2059581616,есть,14,240,1,,,2,12 м2,нет,6900000₽,2,нет,нет,v-кирпичный,Свободная продажа,Раздельный,2015,нет,52 м2,106153₽/м²,во двор,,Кирпичный,,Косметический,,ленинский,,,,,есть,
3,"72,1 м2",https://domclick.ru/card/sale__flat__2058912515,нет,20,401,,,,2,19 м2,,9900000₽,,нет,,,Свободная продажа,,2014,,,137309₽/м²,,,Монолитный,,,нет,ленинский,,,,Железобетонный,есть,
2,"53,1 м2",https://domclick.ru/card/sale__flat__2059306996,,14,201,,,,1,15 м2,,4750000₽,1,,,,Свободная продажа,,2012,,30 м2,89453₽/м²,на улицу,,Смешанные,2.4,,нет,ленинский,,есть,,Смешанный,есть,
1,"61,4 м2",https://domclick.ru/card/sale__flat__1863142827,,5,,,,,3,"5,5 м2",,3900000₽,,есть,,1-панельный,Свободная продажа,,1972,,"44,9 м2",63517₽/м²,,,Панельный,,,нет,ленинский,,,Ленточный,Железобетонный,,
2,"66,7 м2",https://domclick.ru/card/sale__flat__2055851724,нет,7,,,,,3,"7,6 м2",нет,3400000₽,,есть,нет,75/крупнопанельный,Свободная продажа,,1993,нет,"42,4 м2",50974₽/м²,,,Панельный,2.8,,нет,ленинский,,,Ленточный,Железобетонный,,
3,60 м2,https://domclick.ru/card/sale__flat__1950163271,нет,18,,1,,,2,13 м2,нет,5700000₽,1,нет,нет,,Свободная продажа,Раздельный,2016,нет,45 м2,95000₽/м²,во двор,,Кирпичный,,Косметический,,ленинский,,,Сплошной,Железобетонный,есть,
5,65 м2,https://domclick.ru/card/sale__flat__2058030836,,16,126,1,,,2,12 м2,,6448888₽,1,нет,,КУБ-2.5,Свободная продажа,,2014,,45 м2,99213₽/м²,"во двор, на улицу",,Смешанные,,евроремонт,,ленинский,,,,,есть,
