Высота потолков,Тип сделки,Тип фундамента,Прописано,Количество квартир,Мусоропровод,Комнат,Ремонт,Количество этажей,Холодное водоснабжение,Санузел,Кухня,Газ,Вид из окон,Ссылка,Год постройки,Количество собственников,Грузовой лифт,Количество балконов,Количество лифтов,Серия дома,Жилая,Цена,Лифт,Цена за квадрат,Этаж,Горячее водоснабжение,Тип перекрытий,Площадь,Район,Лет в собственности,Балкон,Несовершеннолетние собственники,Материал стен,Прописанные несовершеннолетние,Перепланировка
,Свободная продажа,Ленточный,,,,4,Косметический,5,,Раздельный,9 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2057159244,1973,1,нет,1,,,48 м2,3599999₽,,58064₽/м²,5,Закрытая с приготовлением горячей воды на ЦТП,Железобетонный,62 м2,промышленный,Больше пяти,,нет,Кирпичный,нет,нет
,Свободная продажа,,,,есть,3,,9,,,10 м2,есть,во двор,https://domclick.ru/card/sale__flat__2057714961,1989,,,,1,1-панельный,"42,6 м2",4400000₽,есть,65868₽/м²,9,,Железобетонный,"66,8 м2",промышленный,,нет,,Панельный,,
,Переуступка,,,509,,2,Без ремонта,17,,Совмещенный,"12,4 м2",нет,во двор,https://domclick.ru/card/sale__flat__2056413790,2024,,есть,1,4,,31 м2,3835200₽,есть,68000₽/м²,15,,Железобетонный,"56,4 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,59,,2,Косметический,5,,Раздельный,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059080335,1978,,нет,1,,1-панельный,31 м2,2999999₽,,63157₽/м²,2,,Железобетонный,"47,5 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,,,3,Отсутствует,2,,,8 м2,,,https://domclick.ru/card/sale__flat__2056618425,,,,1,,,"49,7 м2",3134040₽,,46846₽/м²,2,,,"66,9 м2",промышленный,,,,Кирпичный,,
2.5,Свободная продажа,Ленточный,,,,2,косметический,5,,,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__1976033106,1976,,,1,,1-панельный,30 м2,2750000₽,,62076₽/м²,2,,Железобетонный,"44,3 м2",промышленный,,,,Панельный,,
,Свободная продажа,,,720,,1,косметический,24,,,"12,4 м2",нет,на улицу,https://domclick.ru/card/sale__flat__1773974930,2024,,,1,1,,"13,6 м2",2550000₽,,72857₽/м²,2,,,35 м2,промышленный,,,,,,
2.7,Свободная продажа,,,214,,2,Косметический,19,,Совмещенный,"11,4 м2",нет,во двор,https://domclick.ru/card/sale__flat__1769313534,2018,1,есть,1,3,,30 м2,4800000₽,есть,87272₽/м²,1,,Железобетонный,55 м2,промышленный,,,нет,Панельный,нет,нет
2.7,Свободная продажа,Ленточный,2,,,2,Евро,15,,Совмещенный,10 м2,нет,во двор,https://domclick.ru/card/sale__flat__2057016920,2018,2,нет,1,1,,30 м2,3699000₽,есть,81475₽/м²,2,,Железобетонный,"45,4 м2",промышленный,Больше пяти,,нет,Панельный,нет,нет
,Свободная продажа,,,,,2,,9,,,"8,5 м2",есть,,https://domclick.ru/card/sale__flat__2059514038,1983,,есть,,2,111-90 (90),27 м2,3250000₽,есть,63106₽/м²,4,,Железобетонный,"51,5 м2",промышленный,,нет,,Панельный,,
