Материал стен,Санузел,Площадь,Класс энергоэффективности,Высота потолков,Цена за квадрат,Количество балконов,Ремонт,Комнат,Вид из окон,Этаж,Лифт,Кухня,Год постройки,Район,Газ,Прописано,Жилая,Ссылка,Серия дома,Мусоропровод,Прописанные несовершеннолетние,Несовершеннолетние собственники,Холодное водоснабжение,Перепланировка,Тип фундамента,Грузовой лифт,Количество собственников,Количество квартир,Лет в собственности,Балкон,Тип сделки,Тип перекрытий,Количество этажей,Количество лифтов,Цена,Горячее водоснабжение
Монолитный,,54 м2,,,108333₽/м²,1,,2,,10,,10 м2,2023,центральный,,,34 м2,https://domclick.ru/card/sale__flat__2059301189,,,,,,,,,,237,,,Свободная продажа,Железобетонный,14,,5850000₽,Центральное
Кирпичный,,"71,1 м2",,2.73,100984₽/м²,1,евроремонт,2,"во двор, на улицу",5,,"11,7 м2",2011,центральный,есть,,"42,5 м2",https://domclick.ru/card/sale__flat__2056936326,v-кирпичный,,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,5,,7180000₽,
Кирпичный,,"30,9 м2",,2.7,64717₽/м²,,,1,,1,,"6,5 м2",1958,центральный,есть,,18 м2,https://domclick.ru/card/sale__flat__2032566267,v-кирпичный,,,,,,Ленточный,,,,,нет,Свободная продажа,Железобетонный,3,,1999777₽,
Монолитный,,40 м2,,,47250₽/м²,,косметический,2,во двор,1,,7 м2,2002,центральный,есть,,24 м2,https://domclick.ru/card/sale__flat__1818006376,,,,,,,,,,,,нет,Свободная продажа,Железобетонный,1,,1890000₽,Поквартирный котел
Кирпичный,,30 м2,,3,56666₽/м²,1,косметический,2,во двор,3,,3 м2,1975,центральный,,,27 м2,https://domclick.ru/card/sale__flat__1850332840,,,,,,,Иной,,,,,,Свободная продажа,Железобетонный,5,,1700000₽,Закрытая с приготовлением горячей воды на ЦТП
Блочный,Совмещенный,54 м2,,,98148₽/м²,1,Косметический,2,на улицу,6,есть,13 м2,2015,центральный,нет,,36 м2,https://domclick.ru/card/sale__flat__2056562243,"i, блочный",,нет,нет,,нет,,нет,2,,,,Свободная продажа,Железобетонный,17,1,5300000₽,
Кирпичный,,"126,7 м2",,,59194₽/м²,1,,3,,6,есть,35 м2,2007,центральный,есть,,70 м2,https://domclick.ru/card/sale__flat__1692927098,01-пз индивидуальный проект,,,,,,,,,,,,Альтернатива,Железобетонный,6,,7500000₽,
Кирпичный,Совмещенный,"30,2 м2",,,61258₽/м²,,Косметический,1,во двор,2,,6 м2,1958,центральный,есть,,"18,1 м2",https://domclick.ru/card/sale__flat__2058835952,v-кирпичный,,,,,,Ленточный,нет,1,,Больше пяти,нет,Свободная продажа,Железобетонный,3,,1850000₽,
Панельный,Совмещенный,45 м2,,2.5,68888₽/м²,1,Косметический,2,во двор,4,,,1967,центральный,есть,,36 м2,https://domclick.ru/card/sale__flat__2058809337,П-47,,нет,нет,,нет,Ленточный,нет,1,,Больше пяти,,Свободная продажа,Железобетонный,5,,3100000₽,
Панельный,,"28,8 м2",,,107638₽/м²,1,,1,,9,,"6,6 м2",2021,центральный,,,"14,1 м2",https://domclick.ru/card/sale__flat__2059161378,,,,,,,,,,,,,Переуступка,,20,,3100000₽,
Кирпичный,Совмещенный,22 м2,,,68181₽/м²,2,Косметический,2,на улицу,3,,,1974,центральный,нет,,19 м2,https://domclick.ru/card/sale__flat__2059528331,v-кирпичный,,нет,нет,,нет,,нет,1,128,Меньше трех,,Свободная продажа,Железобетонный,5,,1500000₽,
Монолитный,Раздельный,63 м2,,2.7,114285₽/м²,1,Без ремонта,2,"во двор, на улицу",8,,"20,5 м2",2023,центральный,нет,,25 м2,https://domclick.ru/card/sale__flat__2058837650,,,нет,нет,,нет,,есть,1,237,Меньше трех,,Свободная продажа,Железобетонный,14,3,7200000₽,Центральное
Кирпичный,,91 м2,,,74725₽/м²,1,,4,,1,есть,20 м2,1996,центральный,есть,,48 м2,https://domclick.ru/card/sale__flat__1804736438,7859.0.00-00,есть,,,,,,,,,,,Свободная продажа,Железобетонный,9,,6800000₽,
Кирпичный,,94 м2,,,101063₽/м²,1,,3,,1,есть,16 м2,2015,центральный,,,50 м2,https://domclick.ru/card/sale__flat__2058172361,v-кирпичный,,,,,,,,,172,,,Свободная продажа,,14,1,9500000₽,
Монолитный,,100 м2,,,99000₽/м²,1,,2,,9,,25 м2,2006,центральный,,,55 м2,https://domclick.ru/card/sale__flat__1912180237,,,,,,,,,,,,,Свободная продажа,,12,1,9900000₽,
Кирпичный,,"32,7 м2",,,79510₽/м²,1,Требует ремонта,1,во двор,2,,"6,8 м2",1969,центральный,есть,,25 м2,https://domclick.ru/card/sale__flat__2057639318,v-кирпичный,,,,,,Бетонные столбы,,,,,,Свободная продажа,Железобетонный,5,,2600000₽,
Кирпичный,,"41,1 м2",,,60583₽/м²,,Требует ремонта,3,на улицу,2,,6 м2,1961,центральный,есть,,29 м2,https://domclick.ru/card/sale__flat__2058366519,v-кирпичный,,,,,,Ленточный,,,,,нет,Свободная продажа,Деревянный,5,,2490000₽,
Кирпичный,Раздельный,94 м2,,2.9,98829₽/м²,2,Евро,3,,1,есть,,2015,центральный,нет,,,https://domclick.ru/card/sale__flat__2059576754,v-кирпичный,,,,,,,нет,,172,,,Свободная продажа,,14,,9290000₽,
Кирпичный,,"39,9 м2",,,95739₽/м²,1,Евро,1,на улицу,8,есть,11 м2,2008,центральный,есть,,"16,9 м2",https://domclick.ru/card/sale__flat__2057267090,,,,,,,,,,80,,,Свободная продажа,Железобетонный,10,1,3820000₽,
Кирпичный,,70 м2,,,69985₽/м²,1,косметический,2,во двор,10,есть,17 м2,2008,центральный,есть,,34 м2,https://domclick.ru/card/sale__flat__1732454005,,,,,,,,,,80,,,Свободная продажа,Железобетонный,10,1,4899000₽,
Кирпичный,,"40,1 м2",,,96009₽/м²,1,Косметический,1,,4,есть,"10,9 м2",2007,центральный,есть,,,https://domclick.ru/card/sale__flat__2058738969,01-пз индивидуальный проект,,,,,,,,,,,,,Железобетонный,6,,3850000₽,
Кирпичный,,"41,4 м2",,,64975₽/м²,,косметический,2,,1,,6 м2,1966,центральный,есть,,27 м2,https://domclick.ru/card/sale__flat__2058346213,II-14,,,,,,,,,80,,нет,Свободная продажа,Железобетонный,5,,2690000₽,
Монолитно-кирпичный,Совмещенный,"41,9 м2",,2.7,94988₽/м²,1,Без ремонта,1,во двор,7,,"11,3 м2",2019,центральный,нет,,"14,4 м2",https://domclick.ru/card/sale__flat__2059178571,,,нет,нет,,нет,,есть,,99,,,Переуступка,Железобетонный,11,3,3980000₽,Центральное
Монолитно-кирпичный,,"55,1 м2",,,96241₽/м²,,евроремонт,2,"во двор, на улицу",6,,"9,2 м2",2019,центральный,,,"30,5 м2",https://domclick.ru/card/sale__flat__2058311218,,,,,,,Плитный,,,353,,нет,Свободная продажа,Железобетонный,19,1,5300000₽,
Кирпичный,Совмещенный,52 м2,,2.7,76875₽/м²,1,Без ремонта,1,во двор,5,,"16,4 м2",2023,центральный,,,18 м2,https://domclick.ru/card/sale__flat__2045077471,,,нет,нет,,нет,,есть,,,,,Свободная продажа,,17,3,3997500₽,
Панельный,Совмещенный,62 м2,,2.7,93548₽/м²,,Евро,3,"во двор, на улицу",13,,18 м2,2024,центральный,есть,,28 м2,https://domclick.ru/card/sale__flat__2056308495,,,нет,нет,,нет,,нет,1,,Меньше трех,нет,Свободная продажа,,18,2,5800000₽,
,,27 м2,,,103703₽/м²,,,,,3,,,,центральный,,,,https://domclick.ru/card/sale__flat__2058454517,,,,,,,,нет,,,,нет,Свободная продажа,,,,2800000₽,
,,85 м2,,,98752₽/м²,,,3,,4,,17 м2,,центральный,,,55 м2,https://domclick.ru/card/sale__flat__2057697281,,,,,,,,,,,,нет,Переуступка,,9,,8394000₽,
Панельный,,"30,1 м2",,,85049₽/м²,,,1,,4,,8 м2,1969,центральный,есть,,"22,1 м2",https://domclick.ru/card/sale__flat__2058507300,II-14,,,,,,Ленточный,нет,,,,нет,Свободная продажа,Железобетонный,5,,2560000₽,
Монолитно-кирпичный,,"33,4 м2",,,86526₽/м²,,,1,,2,,15 м2,2020,центральный,есть,,,https://domclick.ru/card/sale__flat__2059230471,,,,,,,,нет,,,,нет,Свободная продажа,Железобетонный,3,,2890000₽,Центральное
Кирпичный,,"18,5 м2",,,67567₽/м²,,,1,,3,,2 м2,1968,центральный,,,13 м2,https://domclick.ru/card/sale__flat__2058194538,v-кирпичный,,,,,,Иной,,,,,нет,Свободная продажа,Железобетонный,5,,1250000₽,
Кирпичный,,"30,6 м2",,,75163₽/м²,1,,1,на улицу,4,,6 м2,1961,центральный,есть,,17 м2,https://domclick.ru/card/sale__flat__2057221988,v-кирпичный,,,,,,Ленточный,,,,,,Свободная продажа,Деревянный,5,,2300000₽,
Блочный,Раздельный,"37,5 м2",,2.7,74666₽/м²,,Косметический,,во двор,2,,"3,5 м2",2010,центральный,нет,,"33,5 м2",https://domclick.ru/card/sale__flat__2059560828,,,нет,нет,,нет,,нет,,,,нет,Свободная продажа,Железобетонный,4,,2800000₽,Центральное
Панельный,,"43,7 м2",,,61556₽/м²,1,Косметический,2,,5,,6 м2,1970,центральный,есть,,,https://domclick.ru/card/sale__flat__2018593513,1-панельный,,,,,,Ленточный,,,,,,,Железобетонный,5,,2690000₽,
Кирпичный,,"42,6 м2",,,83333₽/м²,,,2,во двор,1,,"6,5 м2",1960,центральный,есть,,"33,6 м2",https://domclick.ru/card/sale__flat__2059390325,v-кирпичный,,,,,,,,,60,,нет,Свободная продажа,Железобетонный,4,,3550000₽,
